amount,sender_id,receiver_id,sender_country,receiver_country,transaction_type,is_fraud,fraud_typology,timestamp,transaction_id
4934.9654751827875,USER_007757,USER_027205,FR,GB,payment,0,none,2024-01-01 00:03:10,TXN_00052583
64.55383257599733,USER_013938,USER_009695,AU,JP,payment,0,none,2024-01-01 00:05:04,TXN_00054008
2226.3766025049013,USER_038056,USER_038222,US,DE,withdrawal,0,none,2024-01-01 00:06:28,TXN_00019604
2971.4834282763973,USER_037976,USER_021810,DE,CA,transfer,0,none,2024-01-01 00:12:21,TXN_00027144
398.871050910733,USER_030151,USER_015574,US,AU,transfer,0,none,2024-01-01 00:15:03,TXN_00018987
2120.0017638904033,USER_005386,USER_047026,FR,FR,payment,0,none,2024-01-01 00:15:45,TXN_00097434
197.7648045191966,USER_029858,USER_023398,FR,GB,transfer,0,none,2024-01-01 00:17:30,TXN_00011228
2748.2757548816794,USER_012181,Eastern Finance Corp,US,IQ,transfer,1,sanctions_evasion,2024-01-01 00:18:19,TXN_00090878
1267.9546492615164,USER_021540,USER_028919,US,CA,payment,0,none,2024-01-01 00:21:53,TXN_00077043
179.91852300976785,USER_007431,USER_019212,CA,JP,payment,0,none,2024-01-01 00:25:01,TXN_00076688
847.9123290021053,USER_042734,USER_046385,AU,GB,payment,0,none,2024-01-01 00:26:41,TXN_00037908
114.5507668263939,USER_037563,USER_034322,CA,US,payment,0,none,2024-01-01 00:26:44,TXN_00013104
5149.511070487783,USER_015706,USER_037274,FR,DE,transfer,0,none,2024-01-01 00:27:24,TXN_00021639
74.07427930585133,USER_011932,USER_039526,AU,FR,payment,0,none,2024-01-01 00:29:56,TXN_00078823
6887.355237962871,USER_026690,USER_003615,JP,DE,withdrawal,0,none,2024-01-01 00:30:00,TXN_00000191
3512.408818604597,USER_043126,USER_023736,US,FR,withdrawal,0,none,2024-01-01 00:33:19,TXN_00088778
864.6177004062442,USER_046313,USER_013828,FR,US,withdrawal,0,none,2024-01-01 00:33:23,TXN_00022006
9177.816230548675,USER_006587,USER_010377,GB,JP,withdrawal,0,none,2024-01-01 00:35:15,TXN_00020084
482.91997387592505,USER_012537,USER_025426,JP,FR,withdrawal,0,none,2024-01-01 00:36:03,TXN_00060605
18.946526702977884,USER_042322,USER_018067,FR,JP,payment,0,none,2024-01-01 00:39:13,TXN_00074345
4261.165247195129,USER_046605,USER_020303,US,IR,transfer,1,high_risk_geography,2024-01-01 00:41:44,TXN_00071335
14.640154611277202,USER_042026,USER_002863,FR,DE,transfer,0,none,2024-01-01 00:44:18,TXN_00059986
15716.432747369952,USER_033711,USER_045469,DE,CA,withdrawal,0,none,2024-01-01 00:44:34,TXN_00082142
1076.7768076413874,USER_024847,USER_024496,GB,US,payment,0,none,2024-01-01 00:47:08,TXN_00014223
444.94519576984345,USER_011883,USER_017603,JP,AU,withdrawal,0,none,2024-01-01 00:47:27,TXN_00030228
17.983543798747267,USER_005052,USER_045180,GB,CA,payment,0,none,2024-01-01 00:47:46,TXN_00058216
355.3997939075699,USER_041940,USER_044863,GB,JP,payment,0,none,2024-01-01 00:48:11,TXN_00055716
181.096173755842,USER_048629,USER_014364,CA,GB,payment,0,none,2024-01-01 00:49:06,TXN_00032280
131.63319103668394,USER_039762,USER_041899,US,CA,withdrawal,0,none,2024-01-01 00:49:50,TXN_00071809
0.8200370184485912,USER_046694,USER_018288,FR,AU,transfer,0,none,2024-01-01 00:51:48,TXN_00023973
2113.391913630311,USER_041237,USER_000344,GB,DE,payment,0,none,2024-01-01 00:53:19,TXN_00065464
2570.2536237351774,USER_006102,USER_001601,AU,JP,withdrawal,0,none,2024-01-01 00:54:26,TXN_00068054
